,0,1,2,3,4,5,6,7,8,9
0,x,x,x,b,o,o,b,x,o,positive
1,x,b,o,b,x,o,b,b,x,positive
2,x,o,o,b,x,b,b,b,x,positive
3,o,x,o,x,b,o,x,x,o,negative
4,x,b,x,o,b,x,o,o,x,positive
5,o,o,o,x,b,x,x,x,o,negative
6,o,b,b,x,x,x,b,b,o,positive
7,x,b,o,x,b,o,x,b,b,positive
8,b,b,x,o,x,o,x,o,x,positive
9,x,b,o,x,b,b,x,o,b,positive
10,b,o,b,x,x,x,b,o,b,positive
11,b,b,o,x,b,o,x,x,o,negative
12,o,x,o,x,x,o,b,x,b,positive
13,o,x,o,b,x,b,o,x,x,positive
14,x,b,x,b,x,o,o,o,x,positive
15,b,b,x,b,o,x,b,o,x,positive
16,b,x,o,x,x,x,b,o,o,positive
17,o,b,b,x,o,x,b,x,o,negative
18,o,x,o,b,o,x,o,x,x,negative
19,x,b,o,x,x,x,b,o,o,positive
20,o,o,x,x,x,x,b,b,o,positive
21,o,b,x,x,o,x,o,x,o,negative
22,b,b,x,b,x,o,x,o,b,positive
23,x,b,b,x,o,x,x,o,o,positive
24,x,x,b,x,o,o,x,o,b,positive
25,o,o,x,b,o,x,x,b,x,positive
26,o,x,x,o,x,o,x,b,b,positive
27,x,x,o,b,o,b,o,b,x,negative
28,o,b,x,b,o,x,b,b,x,positive
29,x,x,x,b,o,b,b,b,o,positive
30,o,x,x,o,x,o,x,o,x,positive
31,o,b,x,o,x,x,o,x,o,negative
32,o,b,x,x,o,x,b,b,o,negative
33,x,x,x,b,o,o,b,o,x,positive
34,x,o,b,x,o,x,b,o,b,negative
35,x,x,x,b,o,x,b,o,o,positive
36,o,b,b,b,o,b,x,x,x,positive
37,x,o,o,b,x,o,b,x,x,positive
38,o,x,x,o,x,b,o,b,b,negative
39,x,b,b,x,o,o,x,b,b,positive
40,b,o,x,x,o,o,x,o,x,negative
41,o,x,o,b,x,x,o,x,b,positive
42,x,x,x,b,x,o,b,o,o,positive
43,o,b,x,b,x,o,x,o,x,positive
44,o,o,o,x,b,x,x,b,b,negative
45,o,x,x,x,o,o,x,b,o,negative
46,o,b,x,x,o,x,o,b,x,positive
47,b,x,x,o,x,o,x,b,o,positive
48,o,b,x,x,x,o,x,b,o,positive
49,o,o,b,o,b,x,x,x,x,positive
50,o,o,b,x,o,x,x,x,o,negative
51,o,x,x,o,o,o,b,x,x,negative
52,x,o,b,x,b,b,x,o,b,positive
53,o,b,x,o,x,o,x,x,b,positive
54,o,x,x,b,b,x,o,o,x,positive
55,o,o,x,x,o,b,x,o,x,negative
56,b,x,o,x,x,x,o,o,b,positive
57,b,x,o,o,x,b,o,x,x,positive
58,b,o,o,o,x,b,x,x,x,positive
59,o,x,x,o,o,x,x,b,o,negative
60,o,x,o,x,x,o,o,x,x,positive
61,o,x,x,o,x,b,x,o,b,positive
62,o,o,x,x,x,x,o,b,b,positive
63,b,x,o,x,o,b,o,x,b,negative
64,x,o,o,b,o,x,o,x,x,negative
65,x,x,o,b,x,o,b,o,x,positive
66,x,o,b,x,o,o,x,b,x,positive
67,x,o,o,b,o,b,x,x,x,positive
68,x,b,o,x,x,o,b,b,o,negative
69,o,x,b,x,x,x,o,b,o,positive
70,b,o,x,b,o,b,x,o,x,negative
71,x,b,o,x,x,o,x,o,b,positive
72,b,x,o,x,b,o,x,b,o,negative
73,x,x,b,o,x,o,o,b,x,positive
74,o,b,b,x,x,x,o,x,o,positive
75,o,o,o,x,x,b,x,x,o,negative
76,o,o,x,x,x,o,x,x,o,positive
77,b,x,b,x,x,b,o,o,o,negative
78,o,x,x,b,o,x,o,x,o,negative
79,x,x,b,x,x,o,o,o,o,negative
80,x,b,o,x,o,o,x,x,b,positive
81,b,o,o,b,o,x,x,x,x,positive
82,b,b,o,x,x,o,x,b,o,negative
83,b,x,o,o,x,b,b,x,b,positive
84,o,o,x,b,x,o,x,x,b,positive
85,o,x,o,x,x,x,b,b,o,positive
86,b,b,x,o,o,o,x,b,x,negative
87,o,x,b,o,b,b,o,x,x,negative
88,o,b,b,x,o,o,x,x,x,positive
89,x,x,o,x,o,o,o,x,b,negative
90,b,b,x,o,x,o,x,x,o,positive
91,o,b,x,o,x,x,x,o,b,positive
92,x,o,b,o,x,o,b,x,x,positive
93,x,b,x,x,o,x,o,o,o,negative
94,o,x,x,x,x,o,o,o,x,negative
95,x,b,o,o,x,o,b,x,x,positive
96,b,o,x,b,x,o,x,b,b,positive
97,o,o,x,x,b,x,b,o,x,positive
98,b,b,b,x,x,x,b,o,o,positive
99,x,o,x,b,x,b,o,o,x,positive
100,x,o,o,o,x,b,b,x,x,positive
101,x,x,x,b,b,o,o,b,b,positive
102,x,o,o,x,x,x,o,b,b,positive
103,x,x,x,x,o,o,x,o,o,positive
104,b,b,o,x,o,x,o,x,b,negative
105,o,x,b,b,o,o,x,x,x,positive
106,b,o,b,b,o,x,x,o,x,negative
107,o,b,x,o,x,b,x,b,b,positive
108,x,o,b,x,x,x,o,b,o,positive
109,x,o,o,x,o,o,x,x,x,positive
110,o,x,x,b,x,o,o,x,b,positive
111,x,o,o,x,b,o,x,x,b,positive
112,o,b,x,b,o,x,b,x,o,negative
113,b,b,x,o,o,x,b,b,x,positive
114,b,x,x,b,b,x,o,o,o,negative
115,x,x,x,b,b,b,o,o,b,positive
116,x,x,o,b,x,o,x,o,o,negative
117,b,x,o,x,o,o,x,x,o,negative
118,o,b,b,x,x,x,o,b,b,positive
119,x,b,o,x,o,b,x,x,o,positive
120,b,b,o,x,x,x,o,o,x,positive
121,b,b,x,b,b,x,o,o,x,positive
122,x,o,o,x,b,o,x,b,x,positive
123,o,b,x,o,x,x,b,o,x,positive
124,x,x,b,o,x,b,o,x,o,positive
125,x,b,x,o,x,o,b,o,x,positive
126,x,b,b,x,o,o,x,x,o,positive
127,o,x,o,o,o,x,x,x,x,positive
128,x,o,x,b,o,b,b,o,x,negative
129,b,x,o,x,x,o,b,b,o,negative
130,b,x,x,b,x,b,o,o,o,negative
131,o,b,x,b,o,o,x,x,x,positive
132,x,o,x,o,o,x,b,b,x,positive
133,o,x,x,o,x,x,x,o,o,positive
134,x,x,b,o,x,o,b,o,x,positive
135,x,b,o,x,x,x,o,o,b,positive
136,o,x,x,x,x,o,o,x,o,positive
137,x,b,b,o,x,o,o,x,x,positive
138,o,b,b,b,o,x,x,x,o,negative
139,x,b,x,x,b,o,x,o,o,positive
140,o,b,o,x,o,x,x,x,o,negative
141,x,b,x,x,x,o,o,o,o,negative
142,o,x,x,o,x,o,x,x,o,positive
143,x,x,b,b,x,o,o,o,x,positive
144,o,b,o,b,x,o,x,x,x,positive
145,x,x,x,o,b,b,x,o,o,positive
146,x,x,x,o,b,o,x,o,b,positive
147,o,x,b,x,o,b,x,b,o,negative
148,x,x,o,b,x,o,b,b,o,negative
149,b,o,b,b,o,b,x,x,x,positive
150,o,o,o,x,b,x,b,b,x,negative
151,b,b,o,x,o,o,x,x,x,positive
152,x,o,x,x,b,x,o,o,o,negative
153,o,x,o,b,x,b,x,x,o,positive
154,o,o,b,x,x,x,b,o,x,positive
155,o,o,x,b,b,x,b,b,x,positive
156,o,o,x,o,x,x,b,b,x,positive
157,x,o,x,o,o,o,x,x,b,negative
158,b,o,b,x,x,x,x,o,o,positive
159,b,x,x,o,x,o,o,x,b,positive
160,x,o,o,x,o,x,o,x,b,negative
161,x,b,b,o,x,b,o,b,x,positive
162,o,x,o,x,o,x,x,b,o,negative
163,b,o,x,b,x,x,o,o,x,positive
164,x,x,x,b,x,o,o,o,b,positive
165,o,b,x,x,o,b,b,x,o,negative
166,x,x,x,o,x,b,b,o,o,positive
167,o,x,b,o,b,x,o,b,x,negative
168,b,x,b,o,o,o,x,b,x,negative
169,o,b,o,o,b,x,x,x,x,positive
170,o,x,x,b,x,o,x,b,o,positive
171,x,o,x,x,o,o,b,o,x,negative
172,o,b,x,x,x,x,o,b,o,positive
173,x,o,x,b,x,o,x,o,b,positive
174,x,o,b,b,o,x,b,o,x,negative
175,x,x,b,o,o,o,b,x,b,negative
176,x,o,x,o,o,o,b,x,x,negative
177,o,o,x,x,x,o,x,o,x,positive
178,o,x,b,o,x,o,x,x,b,positive
179,x,x,x,b,b,o,b,o,b,positive
180,o,x,x,x,o,x,o,o,x,positive
181,o,b,o,x,o,x,o,x,x,negative
182,o,b,x,b,x,b,x,o,b,positive
183,b,b,x,o,x,o,x,b,b,positive
184,x,o,b,x,b,o,x,x,o,positive
185,o,x,o,o,x,x,x,o,x,negative
186,o,x,b,o,b,o,x,x,x,positive
187,x,b,x,x,o,b,x,o,o,positive
188,b,o,x,b,x,b,x,o,b,positive
189,x,b,x,o,x,b,o,o,x,positive
190,o,b,o,o,x,x,o,x,x,negative
191,x,x,o,b,x,o,o,x,b,positive
192,x,b,x,o,x,b,x,o,o,positive
193,o,b,x,x,o,b,x,b,o,negative
194,b,x,x,o,x,o,x,o,b,positive
195,o,b,x,o,o,x,x,x,o,negative
196,x,x,x,o,x,o,x,o,o,positive
197,b,x,x,o,o,x,b,o,x,positive
198,b,x,o,b,o,x,o,b,x,negative
199,b,b,b,b,o,o,x,x,x,positive
200,x,x,x,b,b,o,b,b,o,positive
201,x,o,b,x,o,o,x,x,b,positive
202,o,x,x,x,x,b,o,o,o,negative
203,b,b,x,o,b,x,b,o,x,positive
204,o,x,b,o,o,x,x,x,o,negative
205,o,b,b,o,x,o,x,x,x,positive
206,o,b,x,b,b,x,o,b,x,positive
207,o,x,b,o,x,b,x,x,o,positive
208,x,o,x,b,o,b,x,o,b,negative
209,b,o,x,o,x,x,x,o,b,positive
210,x,o,x,o,x,o,b,b,x,positive
211,o,o,o,b,b,x,b,x,x,negative
212,x,o,b,o,x,b,o,x,x,positive
213,x,o,b,b,o,x,x,o,b,negative
214,o,x,b,o,x,o,b,x,x,positive
215,x,x,o,o,x,x,o,x,o,positive
216,b,o,x,x,b,x,o,o,x,positive
217,b,x,o,o,o,x,o,x,x,negative
218,x,x,x,b,o,b,x,o,o,positive
219,x,o,x,o,x,b,x,o,b,positive
220,o,b,x,o,b,x,x,o,x,positive
221,o,x,x,x,x,o,x,o,o,positive
222,x,x,x,o,b,x,b,o,o,positive
223,x,x,o,o,x,b,o,x,b,positive
224,o,o,x,x,x,b,x,b,o,positive
225,b,x,x,x,b,b,o,o,o,negative
226,x,b,o,b,x,b,b,o,x,positive
227,b,x,b,o,x,o,x,x,o,positive
228,b,b,o,o,b,b,x,x,x,positive
229,b,x,x,o,x,b,x,o,o,positive
230,x,b,o,x,x,o,o,x,o,negative
231,x,x,x,o,b,o,o,x,b,positive
232,o,o,x,b,x,o,x,b,x,positive
233,x,o,o,x,x,x,b,b,o,positive
234,x,x,x,b,o,o,o,x,b,positive
235,x,o,x,b,x,x,o,o,o,negative
236,o,x,o,b,x,o,b,x,x,positive
237,x,x,x,x,b,o,o,b,o,positive
238,x,o,b,b,x,b,b,o,x,positive
239,x,x,b,o,x,o,b,x,o,positive
240,o,o,o,o,x,x,x,b,x,negative
241,x,o,b,o,o,b,x,x,x,positive
242,o,x,b,o,b,x,o,x,b,negative
243,b,o,x,x,o,x,x,o,o,negative
244,b,o,x,o,x,b,x,o,x,positive
245,x,o,x,o,o,x,x,x,o,negative
246,o,x,x,o,o,x,b,x,o,negative
247,x,o,o,b,o,x,x,o,x,negative
248,o,o,x,b,x,b,x,b,b,positive
249,o,o,o,x,x,o,x,x,b,negative
250,x,b,o,x,o,b,o,b,x,negative
251,x,b,o,b,x,o,o,x,x,positive
252,b,o,o,b,x,o,x,x,x,positive
253,x,x,x,b,b,o,o,o,x,positive
254,o,o,o,b,x,x,b,x,b,negative
255,o,x,x,b,x,b,x,o,o,positive
256,b,x,o,b,x,o,o,x,x,positive
257,o,o,x,x,o,o,x,x,x,positive
258,x,o,b,o,o,x,x,o,x,negative
259,o,o,o,x,x,b,b,x,b,negative
260,x,o,x,o,o,o,x,b,x,negative
261,b,b,o,x,x,o,b,x,o,negative
262,o,b,x,x,o,x,x,o,o,negative
263,b,x,o,b,o,x,o,x,b,negative
264,x,x,b,b,x,b,o,o,o,negative
265,b,o,b,o,o,x,x,x,x,positive
266,x,x,o,o,o,x,o,x,b,negative
267,x,x,o,x,o,o,x,b,b,positive
268,o,o,x,o,b,x,x,b,x,positive
269,b,o,o,x,x,x,b,o,x,positive
270,o,b,o,x,b,o,x,x,x,positive
271,o,b,o,x,x,x,x,o,b,positive
272,o,x,o,b,x,b,b,x,b,positive
273,x,o,b,x,o,x,o,o,x,negative
274,x,o,o,o,x,x,x,x,o,negative
275,o,o,o,x,x,b,x,b,b,negative
276,b,x,o,o,x,x,o,x,b,positive
277,x,b,b,o,o,o,b,x,x,negative
278,x,b,o,o,x,b,o,x,x,positive
279,x,o,o,x,b,x,x,o,b,positive
280,b,x,x,o,o,o,x,x,o,negative
281,b,x,x,b,x,o,o,x,o,positive
282,o,x,x,o,b,o,o,x,x,negative
283,x,b,o,b,b,o,x,x,o,negative
284,x,o,o,b,x,x,b,o,x,positive
285,x,x,x,x,o,b,o,o,b,positive
286,b,o,o,x,x,o,x,x,o,negative
287,x,x,o,o,b,o,x,x,o,negative
288,x,x,x,o,b,x,o,b,o,positive
289,b,o,x,x,x,o,x,b,o,positive
290,x,x,x,b,o,x,o,o,b,positive
291,b,x,o,o,x,o,x,x,b,positive
292,o,o,x,o,x,o,x,x,x,positive
293,b,x,x,o,x,b,o,x,o,positive
294,o,x,b,b,o,x,x,b,o,negative
295,b,o,o,b,b,b,x,x,x,positive
296,x,o,b,x,b,o,x,o,x,positive
297,o,x,b,o,x,x,b,x,o,positive
298,o,x,x,x,o,o,o,x,x,negative
299,o,x,b,b,o,x,b,x,o,negative
300,b,b,o,b,b,o,x,x,x,positive
301,b,b,o,x,x,x,b,o,b,positive
302,x,o,x,x,o,o,o,x,x,negative
303,x,x,b,x,b,o,x,o,o,positive
304,b,b,x,o,o,o,x,x,b,negative
305,o,x,o,x,x,b,b,x,o,positive
306,o,x,b,b,x,o,x,x,o,positive
307,x,b,o,o,b,o,x,x,x,positive
308,x,o,b,x,o,x,x,b,o,positive
309,b,o,x,o,o,x,x,b,x,positive
310,o,o,b,o,x,b,x,x,x,positive
311,x,b,o,x,o,b,o,x,b,negative
312,o,o,x,b,x,b,x,x,o,positive
313,x,x,x,o,o,x,o,b,b,positive
314,b,x,b,x,b,x,o,o,o,negative
315,x,x,x,o,b,x,o,o,b,positive
316,o,b,x,o,x,b,x,o,x,positive
317,o,x,b,x,x,b,o,x,o,positive
318,b,o,x,b,b,x,b,o,x,positive
319,o,b,x,o,b,b,o,x,x,negative
320,x,x,x,b,o,o,x,b,o,positive
321,x,x,b,x,o,o,x,b,o,positive
322,o,o,x,x,x,o,o,x,x,negative
323,x,x,x,o,o,x,o,x,o,positive
324,o,b,x,x,x,x,o,o,b,positive
325,o,o,x,b,b,x,o,x,x,positive
326,x,b,b,x,o,b,x,o,b,positive
327,b,o,x,x,o,x,o,b,x,positive
328,x,o,o,x,x,x,x,o,o,positive
329,x,o,x,x,x,o,x,o,o,positive
330,b,b,o,x,o,b,o,x,x,negative
331,x,b,o,x,b,b,x,b,o,positive
332,o,b,x,x,x,x,b,o,o,positive
333,x,x,o,o,o,x,x,x,o,negative
334,o,o,x,x,o,x,b,x,o,negative
335,x,b,o,x,o,o,x,b,x,positive
336,x,o,x,x,o,x,b,o,o,negative
337,x,o,b,x,b,b,x,b,o,positive
338,b,b,x,o,x,x,x,o,o,positive
339,o,b,x,b,x,o,x,b,b,positive
340,x,x,x,x,o,b,b,o,o,positive
341,x,o,x,o,x,x,o,o,x,positive
342,b,x,x,o,o,x,o,b,x,positive
343,x,b,o,b,x,b,o,b,x,positive
344,x,o,x,x,o,b,o,o,x,negative
345,x,b,b,o,x,o,x,o,x,positive
346,o,o,x,b,x,x,b,o,x,positive
347,x,o,x,o,x,o,x,x,o,positive
348,b,x,o,x,o,x,o,o,x,negative
349,x,o,o,x,x,o,b,b,x,positive
350,b,o,x,b,o,x,o,x,x,positive
351,b,o,b,x,o,x,b,o,x,negative
352,b,o,b,o,x,o,x,x,x,positive
353,o,b,x,o,o,x,b,x,x,positive
354,x,x,x,o,x,o,b,o,b,positive
355,o,b,b,x,x,x,x,o,o,positive
356,x,x,b,o,o,o,x,x,o,negative
357,b,x,x,o,o,o,o,x,x,negative
358,x,b,b,x,o,o,x,o,x,positive
359,x,b,b,x,x,o,x,o,o,positive
360,b,o,x,o,o,x,b,x,x,positive
361,o,x,o,x,x,x,o,x,o,positive
362,o,x,o,x,o,x,o,x,b,negative
363,x,x,x,x,o,o,b,o,b,positive
364,b,b,o,b,o,x,o,x,x,negative
365,o,b,o,b,b,b,x,x,x,positive
366,o,x,o,o,x,b,b,x,x,positive
367,x,x,o,o,x,o,b,x,b,positive
368,o,x,x,o,x,b,x,b,o,positive
369,x,x,o,b,o,o,o,x,x,negative
370,o,x,o,x,o,x,b,x,o,negative
371,o,o,o,x,o,x,b,x,x,negative
372,o,b,x,b,o,b,x,x,o,negative
373,x,o,o,o,x,x,o,x,x,positive
374,x,x,x,x,b,o,o,o,b,positive
375,x,b,x,o,x,o,x,o,b,positive
376,x,b,b,o,x,b,b,o,x,positive
377,b,b,x,b,o,x,o,b,x,positive
378,x,o,x,x,x,o,o,x,o,negative
379,b,b,b,x,x,x,o,o,b,positive
380,o,o,x,o,o,x,x,x,x,positive
381,b,b,x,x,o,x,o,o,x,positive
382,b,x,o,o,b,o,x,x,x,positive
383,x,b,o,x,x,o,b,o,x,positive
384,o,b,x,b,b,x,b,o,x,positive
385,x,o,b,x,x,x,o,o,b,positive
386,x,x,o,x,o,x,o,o,b,negative
387,o,x,b,o,x,x,o,o,x,negative
388,b,b,o,x,x,x,o,x,o,positive
389,x,o,x,x,x,o,o,o,x,positive
390,x,x,x,o,x,b,o,b,o,positive
391,o,x,b,x,o,o,x,x,o,negative
392,o,x,x,b,x,o,x,o,b,positive
393,b,o,b,x,x,x,b,b,o,positive
394,x,o,o,o,o,x,x,x,x,positive
395,o,b,x,o,x,o,x,b,x,positive
396,o,o,o,x,x,o,b,x,x,negative
397,b,x,o,x,o,x,o,x,o,negative
398,x,b,x,o,o,o,o,x,x,negative
399,b,x,x,o,o,o,b,x,b,negative
400,b,o,x,x,x,b,x,o,o,positive
401,o,x,x,o,x,b,o,o,x,negative
402,o,x,x,b,o,b,b,x,o,negative
403,x,b,o,o,o,b,x,x,x,positive
404,o,x,b,o,x,b,o,b,x,negative
405,x,b,x,b,b,x,o,o,o,negative
406,x,x,o,o,o,o,x,x,b,negative
407,x,b,x,x,o,o,x,b,o,positive
408,o,x,o,x,x,x,x,o,o,positive
409,o,x,b,x,x,o,o,x,b,positive
410,o,x,o,b,o,b,x,x,x,positive
411,b,o,o,x,x,x,b,x,o,positive
412,x,b,x,o,o,o,b,b,x,negative
413,x,o,b,x,x,o,x,o,b,positive
414,o,o,x,b,x,x,x,o,b,positive
415,x,o,x,o,o,b,x,o,x,negative
416,x,x,x,x,o,o,o,x,o,positive
417,x,x,x,o,o,x,o,o,x,positive
418,x,o,x,x,b,o,x,o,b,positive
419,b,o,x,o,x,x,b,o,x,positive
420,o,x,o,x,o,x,x,o,x,negative
421,x,x,o,x,b,x,o,o,o,negative
422,o,o,b,x,b,o,x,x,x,positive
423,b,o,b,x,x,x,o,x,o,positive
424,x,o,x,b,o,o,x,o,x,negative
425,x,o,x,x,o,x,o,o,b,negative
426,o,x,x,o,x,b,b,x,o,positive
427,o,x,o,x,o,x,o,b,x,negative
428,x,x,b,x,b,b,o,o,o,negative
429,x,x,o,o,x,o,x,o,x,positive
430,x,x,o,o,x,b,b,x,o,positive
431,x,o,o,x,x,o,o,x,x,positive
432,o,b,b,o,x,b,o,x,x,negative
433,o,b,b,b,b,o,x,x,x,positive
434,o,x,x,o,b,x,b,o,x,positive
435,x,o,x,o,b,x,b,o,x,positive
436,x,o,x,b,x,o,o,b,x,positive
437,x,x,b,o,o,o,b,b,x,negative
438,b,b,o,o,o,x,x,x,x,positive
439,o,x,x,o,x,o,b,x,b,positive
440,x,o,x,x,o,o,x,x,o,positive
441,b,x,o,b,x,b,b,x,o,positive
442,o,x,x,o,o,b,x,x,o,negative
443,x,o,x,o,x,o,x,o,x,positive
444,o,o,o,b,x,x,o,x,x,negative
445,b,x,x,o,o,o,b,b,x,negative
446,x,o,o,o,b,b,x,x,x,positive
447,x,x,x,o,o,x,b,b,o,positive
448,b,x,o,b,x,x,o,x,o,positive
449,o,o,b,o,x,x,o,x,x,negative
450,x,o,b,x,x,o,b,o,x,positive
451,x,o,b,b,o,b,x,o,x,negative
452,x,b,o,x,x,o,o,b,x,positive
453,o,x,b,x,x,x,b,o,o,positive
454,o,o,x,x,b,x,o,b,x,positive
455,o,x,o,b,x,o,x,x,b,positive
456,x,b,o,o,x,x,b,o,x,positive
457,o,b,x,b,x,o,x,x,o,positive
458,x,o,b,o,x,o,x,b,x,positive
459,o,b,x,o,x,o,o,x,x,negative
460,o,b,b,x,x,x,o,o,x,positive
461,o,o,o,b,b,x,x,b,x,negative
462,o,b,o,x,x,x,x,b,o,positive
463,x,b,o,o,x,x,o,b,x,positive
464,b,b,x,o,x,b,x,o,b,positive
465,x,o,b,b,x,x,o,o,x,positive
466,x,x,o,b,x,x,o,o,o,negative
467,o,b,o,x,o,b,x,x,x,positive
468,o,o,x,x,o,b,x,x,o,negative
469,x,o,o,o,x,x,b,b,x,positive
470,o,o,x,o,x,b,x,x,b,positive
471,x,x,x,b,b,b,b,o,o,positive
472,o,x,o,x,x,o,x,b,o,negative
473,o,x,x,o,x,x,o,o,b,negative
474,b,x,o,o,o,b,x,x,x,positive
475,x,x,o,b,o,o,x,x,o,negative
476,o,o,o,b,x,x,x,b,b,negative
477,x,b,o,o,x,o,x,b,x,positive
478,o,b,x,o,x,x,o,b,b,negative
479,b,o,o,x,o,x,o,x,x,negative
